"x","y","first_image","second_image","rad"
282,690,"Scene11_CON.png","Scene11_SEM.png",43.5
333,690,"Scene11_CON.png","Scene11_SEM.png",43.5
333,639,"Scene11_CON.png","Scene11_SEM.png",43.5
384,639,"Scene11_CON.png","Scene11_SEM.png",43.5
486,537,"Scene12_CON.png","Scene12_SEM.png",43.5
486,486,"Scene12_CON.png","Scene12_SEM.png",43.5
537,486,"Scene12_CON.png","Scene12_SEM.png",43.5
537,435,"Scene12_CON.png","Scene12_SEM.png",43.5
588,384,"Scene12_CON.png","Scene12_SEM.png",43.5
537,537,"Scene12_CON.png","Scene12_SEM.png",43.5
588,486,"Scene12_CON.png","Scene12_SEM.png",43.5
639,537,"Scene12_CON.png","Scene12_SEM.png",43.5
639,588,"Scene12_CON.png","Scene12_SEM.png",43.5
588,537,"Scene12_CON.png","Scene12_SEM.png",43.5
588,588,"Scene12_CON.png","Scene12_SEM.png",43.5
537,639,"Scene12_CON.png","Scene12_SEM.png",43.5
537,588,"Scene12_CON.png","Scene12_SEM.png",43.5
486,588,"Scene12_CON.png","Scene12_SEM.png",43.5
435,588,"Scene12_CON.png","Scene12_SEM.png",43.5
129,486,"Scene13_CON.png","Scene13_SEM.png",43.5
129,435,"Scene13_CON.png","Scene13_SEM.png",43.5
129,384,"Scene13_CON.png","Scene13_SEM.png",43.5
384,435,"Scene14_CON.png","Scene14_SEM.png",43.5
384,384,"Scene14_CON.png","Scene14_SEM.png",43.5
384,333,"Scene14_CON.png","Scene14_SEM.png",43.5
384,282,"Scene14_CON.png","Scene14_SEM.png",43.5
333,282,"Scene14_CON.png","Scene14_SEM.png",43.5
333,333,"Scene14_CON.png","Scene14_SEM.png",43.5
333,384,"Scene14_CON.png","Scene14_SEM.png",43.5
690,333,"Scene15_CON.png","Scene15_SEM.png",43.5
690,282,"Scene15_CON.png","Scene15_SEM.png",43.5
690,231,"Scene15_CON.png","Scene15_SEM.png",43.5
435,537,"Scene16_CON.png","Scene16_SEM.png",43.5
435,486,"Scene16_CON.png","Scene16_SEM.png",43.5
639,435,"Scene17_CON.png","Scene17_SEM.png",43.5
690,435,"Scene17_CON.png","Scene17_SEM.png",43.5
741,435,"Scene17_CON.png","Scene17_SEM.png",43.5
690,486,"Scene17_CON.png","Scene17_SEM.png",43.5
741,486,"Scene17_CON.png","Scene17_SEM.png",43.5
639,486,"Scene17_CON.png","Scene17_SEM.png",43.5
231,384,"Scene18_CON.png","Scene18_SEM.png",43.5
282,384,"Scene18_CON.png","Scene18_SEM.png",43.5
333,384,"Scene18_CON.png","Scene18_SEM.png",43.5
384,384,"Scene18_CON.png","Scene18_SEM.png",43.5
435,435,"Scene18_CON.png","Scene18_SEM.png",43.5
384,435,"Scene18_CON.png","Scene18_SEM.png",43.5
333,435,"Scene18_CON.png","Scene18_SEM.png",43.5
282,435,"Scene18_CON.png","Scene18_SEM.png",43.5
588,588,"Scene19_CON.png","Scene19_SEM.png",43.5
639,588,"Scene19_CON.png","Scene19_SEM.png",43.5
