"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
792,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
843,537,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
741,486,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
690,486,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
639,486,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
588,486,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
588,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
537,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
486,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
435,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
384,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
333,435,"Scene8_CON.png","Scene8_SEM.png",43.5,0,1000,2000,3000,4000
792,129,"Scene9_CON.png","Scene9_SEM.png",43.5,0,1000,2000,3000,4000
843,129,"Scene9_CON.png","Scene9_SEM.png",43.5,0,1000,2000,3000,4000
894,78,"Scene9_CON.png","Scene9_SEM.png",43.5,0,1000,2000,3000,4000
843,27,"Scene9_CON.png","Scene9_SEM.png",43.5,0,1000,2000,3000,4000
792,78,"Scene9_CON.png","Scene9_SEM.png",43.5,0,1000,2000,3000,4000
843,78,"Scene9_CON.png","Scene9_SEM.png",43.5,0,1000,2000,3000,4000
231,333,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
231,282,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
231,231,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
282,231,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
333,231,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
333,282,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
282,282,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
282,333,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
333,333,"Scene10_CON.png","Scene10_SEM.png",43.5,0,1000,2000,3000,4000
333,588,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
384,588,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
435,588,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
435,639,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
486,690,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
435,690,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
384,690,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
333,741,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
282,690,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
333,690,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
333,639,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
384,639,"Scene11_CON.png","Scene11_SEM.png",43.5,0,1000,2000,3000,4000
486,537,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
486,486,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
537,486,"Scene12_CON.png","Scene12_SEM.png",43.5,0,1000,2000,3000,4000
