RootScene,MorphScene,Patch,Meaning,Saliency,Attention,MeaningSaliencyDiff,MeaningContrast,Patch_X,Patch_Y,possiblePatchesN,type
target_canyon.png,target_canyon_LowMean.png,62,-0.250,0.259,-0.387,-0.509,1.747,129.500,469.000,7,LowMean
target_casino.png,target_casino_HighMean.png,29,0.661,0.175,0.022,0.486,0.928,384.500,214.000,8,HighMean
target_casino.png,target_casino_LowMean.png,74,-0.267,0.129,-0.486,-0.395,0.928,129.500,554.000,8,LowMean
target_castle.png,target_castle_HighMean.png,27,0.323,0.208,-0.297,0.115,0.172,214.500,214.000,4,HighMean
target_castle.png,target_castle_LowMean.png,59,0.151,0.236,0.027,-0.085,0.172,894.500,384.000,4,LowMean
target_cemetery.png,target_cemetery_HighMean.png,69,0.809,0.361,-0.111,0.448,0.922,724.500,469.000,8,HighMean
target_cemetery.png,target_cemetery_LowMean.png,26,-0.113,0.313,-0.072,-0.426,0.922,129.500,214.000,8,LowMean
target_church.png,target_church_HighMean.png,76,0.870,0.351,0.168,0.519,1.159,299.500,554.000,12,HighMean
target_church.png,target_church_LowMean.png,16,-0.289,0.285,-0.357,-0.574,1.159,299.500,129.000,12,LowMean
target_city.png,target_city_HighMean.png,79,0.950,0.330,0.622,0.620,0.758,554.500,554.000,7,HighMean
target_city.png,target_city_LowMean.png,59,0.192,0.380,-0.487,-0.188,0.758,894.500,384.000,7,LowMean
target_classroom.png,target_classroom_HighMean.png,32,1.017,0.295,0.971,0.722,1.389,639.500,214.000,11,HighMean
target_classroom.png,target_classroom_LowMean.png,62,-0.372,0.164,-0.335,-0.536,1.389,129.500,469.000,11,LowMean
target_closet.png,target_closet_HighMean.png,57,1.143,0.364,0.963,0.779,0.839,724.500,384.000,6,HighMean
target_closet.png,target_closet_LowMean.png,27,0.304,0.243,-0.463,0.061,0.839,214.500,214.000,6,LowMean
target_clothingstore.png,target_clothingstore_HighMean.png,64,0.841,0.369,0.132,0.472,0.900,299.500,469.000,6,HighMean
target_clothingstore.png,target_clothingstore_LowMean.png,92,-0.059,0.364,0.289,-0.423,0.900,639.500,639.000,6,LowMean
target_coffeeshop.png,target_coffeeshop_HighMean.png,33,0.558,0.385,-0.015,0.172,0.556,724.500,214.000,4,HighMean
target_coffeeshop.png,target_coffeeshop_LowMean.png,16,0.001,0.294,-0.455,-0.293,0.556,299.500,129.000,4,LowMean
target_conferencroom.png,target_conferencroom_HighMean.png,30,0.525,0.325,0.248,0.200,1.095,469.500,214.000,9,HighMean
target_conferencroom.png,target_conferencroom_LowMean.png,95,-0.570,0.135,-0.387,-0.705,1.095,894.500,639.000,9,LowMean
target_constructionsite.png,target_constructionsite_HighMean.png,18,0.611,0.260,0.119,0.352,0.892,469.500,129.000,11,HighMean
target_constructionsite.png,target_constructionsite_LowMean.png,83,-0.281,0.345,-0.085,-0.625,0.892,894.500,554.000,11,LowMean
target_courtroom.png,target_courtroom_HighMean.png,16,0.127,0.136,-0.393,-0.009,0.601,299.500,129.000,4,HighMean
target_courtroom.png,target_courtroom_LowMean.png,35,-0.474,0.258,-0.491,-0.732,0.601,894.500,214.000,4,LowMean
target_deli.png,target_deli_HighMean.png,75,0.424,0.321,-0.224,0.103,0.839,214.500,554.000,5,HighMean
target_deli.png,target_deli_LowMean.png,71,-0.414,0.151,-0.366,-0.565,0.839,894.500,469.000,5,LowMean
target_dentistoffice.png,target_dentistoffice_HighMean.png,45,0.916,0.229,0.423,0.688,0.665,724.500,299.000,8,HighMean
target_dentistoffice.png,target_dentistoffice_LowMean.png,34,0.251,0.274,0.178,-0.023,0.665,809.500,214.000,8,LowMean
target_desert.png,target_desert_HighMean.png,88,0.269,0.269,-0.215,-0.000,0.345,299.500,639.000,8,HighMean
target_desert.png,target_desert_LowMean.png,47,-0.076,0.158,0.682,-0.234,0.345,894.500,299.000,8,LowMean
target_desktop.png,target_desktop_HighMean.png,51,0.871,0.274,0.909,0.596,0.955,214.500,384.000,7,HighMean
target_desktop.png,target_desktop_LowMean.png,83,-0.085,0.187,0.384,-0.272,0.955,894.500,554.000,7,LowMean
target_diner.png,target_diner_HighMean.png,77,0.502,0.349,-0.378,0.153,0.542,384.500,554.000,6,HighMean
target_diner.png,target_diner_LowMean.png,91,-0.040,0.208,-0.430,-0.248,0.542,554.500,639.000,6,LowMean
target_diningroom_IDS01.png,target_diningroom_IDS01_HighMean.png,77,0.576,0.128,0.113,0.448,0.702,384.500,554.000,5,HighMean
target_diningroom_IDS01.png,target_diningroom_IDS01_LowMean.png,35,-0.126,0.129,-0.139,-0.255,0.702,894.500,214.000,5,LowMean
target_dock.png,target_dock_HighMean.png,31,1.032,0.345,0.766,0.687,1.303,554.500,214.000,9,HighMean
target_dock.png,target_dock_LowMean.png,83,-0.272,0.128,-0.412,-0.400,1.303,894.500,554.000,9,LowMean
target_driveway.png,target_driveway_HighMean.png,16,0.973,0.334,0.358,0.639,0.604,299.500,129.000,4,HighMean
target_driveway.png,target_driveway_LowMean.png,70,0.369,0.379,-0.517,-0.010,0.604,809.500,469.000,4,LowMean
target_factory.png,target_factory_HighMean.png,39,0.945,0.294,0.089,0.651,1.030,214.500,299.000,4,HighMean
target_factory.png,target_factory_LowMean.png,35,-0.085,0.132,0.222,-0.217,1.030,894.500,214.000,4,LowMean
target_field.png,target_field_HighMean.png,92,0.378,0.189,-0.381,0.189,0.657,639.500,639.000,8,HighMean
target_field.png,target_field_LowMean.png,83,-0.279,0.154,-0.253,-0.433,0.657,894.500,554.000,8,LowMean
target_fireworks.png,target_fireworks_HighMean.png,58,1.147,0.318,0.197,0.828,0.994,809.500,384.000,9,HighMean
target_fireworks.png,target_fireworks_LowMean.png,76,0.152,0.202,-0.423,-0.050,0.994,299.500,554.000,9,LowMean
target_fishingvillage.png,target_fishingvillage_HighMean.png,78,0.838,0.301,-0.126,0.537,0.892,469.500,554.000,10,HighMean
target_fishingvillage.png,target_fishingvillage_LowMean.png,62,-0.054,0.131,0.082,-0.185,0.892,129.500,469.000,10,LowMean
target_forrest.png,target_forrest_HighMean.png,30,1.099,0.367,0.314,0.733,1.363,469.500,214.000,10,HighMean
target_forrest.png,target_forrest_LowMean.png,15,-0.264,0.169,-0.461,-0.433,1.363,214.500,129.000,10,LowMean
target_gameroom_IDS01.png,target_gameroom_IDS01_HighMean.png,57,1.040,0.347,0.154,0.694,1.069,724.500,384.000,8,HighMean
target_gameroom_IDS01.png,target_gameroom_IDS01_LowMean.png,27,-0.029,0.270,0.733,-0.299,1.069,214.500,214.000,8,LowMean
target_garage.png,target_garage_HighMean.png,40,1.050,0.176,1.554,0.874,1.351,299.500,299.000,10,HighMean
target_garage.png,target_garage_LowMean.png,35,-0.301,0.268,-0.352,-0.570,1.351,894.500,214.000,10,LowMean
target_garden.png,target_garden_HighMean.png,34,0.378,0.314,-0.197,0.063,0.402,809.500,214.000,4,HighMean
target_garden.png,target_garden_LowMean.png,94,-0.025,0.156,-0.247,-0.181,0.402,809.500,639.000,4,LowMean
target_grassland.png,target_grassland_HighMean.png,45,0.753,0.356,1.169,0.397,1.323,724.500,299.000,7,HighMean
target_grassland.png,target_grassland_LowMean.png,15,-0.570,0.354,-0.300,-0.924,1.323,214.500,129.000,7,LowMean
target_greenhouse.png,target_greenhouse_HighMean.png,77,1.160,0.140,-0.400,1.020,1.414,384.500,554.000,11,HighMean
target_greenhouse.png,target_greenhouse_LowMean.png,22,-0.254,0.316,-0.420,-0.570,1.414,809.500,129.000,11,LowMean
target_hairsalon.png,target_hairsalon_HighMean.png,77,0.527,0.385,-0.442,0.142,0.515,384.500,554.000,7,HighMean
target_hairsalon.png,target_hairsalon_LowMean.png,59,0.012,0.240,-0.036,-0.228,0.515,894.500,384.000,7,LowMean
target_hardwarestore.png,target_hardwarestore_HighMean.png,88,0.249,0.163,-0.431,0.086,0.672,299.500,639.000,10,HighMean
target_hardwarestore.png,target_hardwarestore_LowMean.png,35,-0.424,0.282,0.247,-0.706,0.672,894.500,214.000,10,LowMean
target_heliport.png,target_heliport_HighMean.png,19,1.082,0.368,0.382,0.714,1.222,554.500,129.000,12,HighMean
target_heliport.png,target_heliport_LowMean.png,59,-0.140,0.172,-0.176,-0.312,1.222,894.500,384.000,12,LowMean
target_highway.png,target_highway_HighMean.png,82,0.727,0.275,-0.026,0.451,0.715,809.500,554.000,5,HighMean
target_highway.png,target_highway_LowMean.png,27,0.012,0.156,-0.457,-0.144,0.715,214.500,214.000,5,LowMean
target_hospital.png,target_hospital_HighMean.png,45,0.636,0.227,-0.112,0.410,1.010,724.500,299.000,10,HighMean
