run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,sona_id,rt,stimulus,response,PosX,PosY,hit,trial_dur,trialStart,changeOnset,key_time,first_image,second_image,image_duration,mask_duration,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
2,1,"""","""","""","""","""",html-button-response,152,399328,0.0-11.0-2.45,93038,1302,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,153,401329,0.0-11.0-0.46,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,154,410307,0.0-11.0-1.46,93038,NaN,"""","""",784.0914285714285,263.3142857142857,true,8976,402702,402703.2999997139,"""",target_hardwarestore.png,target_hardwarestore_HighSal.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,155,411529,0.0-11.0-2.46,93038,1215.2000002861023,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,156,413531,0.0-11.0-0.47,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,157,419205,0.0-11.0-1.47,93038,NaN,"""","""",653.8971428571429,520.7771428571428,true,5672.60000038147,414903.39999961853,414904.19999980927,"""",target_campsite.png,target_campsite_HighSal.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,158,420345,0.0-11.0-2.47,93038,1132.5999999046326,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,159,422346,0.0-11.0-0.48,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,160,425214,0.0-11.0-1.48,93038,NaN,"""","""",784.0914285714285,457.8742857142857,true,2865.5999999046326,423718.59999990463,423719.5,"""",target_tunnel.png,target_tunnel_HighSal.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,161,426424,0.0-11.0-2.48,93038,1204.5,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
